Season,Lg,Tm,p1,p2,p3,p4,p5
2022-23,NBA,1st,Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams
2022-23,NBA,2nd,Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith Jr.,Jeremy Sochan
2021-22,NBA,1st,Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green
2021-22,NBA,2nd,Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte
2020-21,NBA,1st,LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate
2020-21,NBA,2nd,Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams
2019-20,NBA,1st,Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall
2019-20,NBA,2nd,Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura
2018-19,NBA,1st,Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson Jr.,Marvin Bagley
2018-19,NBA,2nd,Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter
2017-18,NBA,1st,Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen
2017-18,NBA,2nd,Dennis Smith Jr.,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson
2016-17,NBA,1st,Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez
2016-17,NBA,2nd,Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell
2015-16,NBA,1st,Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor
2015-16,NBA,2nd,Justise Winslow,D'Angelo Russell,Emmanuel Mudiay,Myles Turner,Willie Cauley-Stein
2014-15,NBA,1st,Andrew Wiggins,Nikola Mirotić,Nerlens Noel,Elfrid Payton,Jordan Clarkson
2014-15,NBA,2nd,Marcus Smart,Zach LaVine,Bojan Bogdanović,Jusuf Nurkić,Langston Galloway
2013-14,NBA,1st,Michael Carter-Williams,Victor Oladipo,Trey Burke,Mason Plumlee,Tim Hardaway Jr.
2013-14,NBA,2nd,Kelly Olynyk,Giannis Antetokounmpo,Gorgui Dieng,Cody Zeller,Steven Adams
2012-13,NBA,1st,Harrison Barnes,Bradley Beal,Anthony Davis,Damian Lillard,Dion Waiters
2012-13,NBA,2nd,Andre Drummond,Michael Kidd-Gilchrist,Kyle Singler,Jonas Valančiūnas,Tyler Zeller
2011-12,NBA,1st,Kenneth Faried,Kyrie Irving,Ricky Rubio,Klay Thompson,Kawhi Leonard
2011-12,NBA,2nd,MarShon Brooks,Chandler Parsons,Isaiah Thomas,Tristan Thompson,Derrick Williams
2010-11,NBA,1st,DeMarcus Cousins,Landry Fields,Blake Griffin,Gary Neal,John Wall
2010-11,NBA,2nd,Eric Bledsoe,Derrick Favors,Paul George,Wesley Johnson,Greg Monroe
2009-10,NBA,1st,Darren Collison,Stephen Curry,Tyreke Evans,Taj Gibson,Brandon Jennings
2009-10,NBA,2nd,DeJuan Blair,Jonny Flynn,James Harden,Jonas Jerebko,Marcus Thornton
2008-09,NBA,1st,Michael Beasley,Brook Lopez,O.J. Mayo,Derrick Rose,Russell Westbrook
2008-09,NBA,2nd,Mario Chalmers,Marc Gasol,Eric Gordon,Kevin Love,D.J. Augustin
2007-08,NBA,1st,Kevin Durant,Jeff Green,Al Horford,Luis Scola,Al Thornton
2007-08,NBA,2nd,Carl Landry,Jamario Moon,Juan Carlos Navarro,Rodney Stuckey,Thaddeus Young
2006-07,NBA,1st,Andrea Bargnani,Randy Foye,Rudy Gay,Brandon Roy,LaMarcus Aldridge
2006-07,NBA,2nd,Paul Millsap,Adam Morrison,Craig Smith,Tyrus Thomas,Rajon Rondo
2005-06,NBA,1st,Andrew Bogut,Channing Frye,Chris Paul,Charlie Villanueva,Deron Williams
2005-06,NBA,2nd,Raymond Felton,Ryan Gomes,Danny Granger,Luther Head,Marvin Williams
2004-05,NBA,1st,Luol Deng,Ben Gordon,Dwight Howard,Andre Iguodala,Emeka Okafor
2004-05,NBA,2nd,Josh Childress,Al Jefferson,Nenad Krstić,Jameer Nelson,Josh Smith
2003-04,NBA,1st,Carmelo Anthony,Chris Bosh,Kirk Hinrich,LeBron James,Dwyane Wade
2003-04,NBA,2nd,Marquis Daniels,T.J. Ford,Udonis Haslem,Jarvis Hayes,Josh Howard
2002-03,NBA,1st,Caron Butler,Drew Gooden,Nenê,Yao Ming,Amar'e Stoudemire
2002-03,NBA,2nd,Carlos Boozer,J.R. Bremer,Manu Ginóbili,Gordan Giriček,Jay Williams
2001-02,NBA,1st,Shane Battier,Pau Gasol,Andrei Kirilenko,Tony Parker,Jason Richardson
2001-02,NBA,2nd,Eddie Griffin,Richard Jefferson,Željko Rebrača,Jamaal Tinsley,Joe Johnson
2000-01,NBA,1st,Marc Jackson,Kenyon Martin,Darius Miles,Mike Miller,Morris Peterson
2000-01,NBA,2nd,Courtney Alexander,Marcus Fizer,Desmond Mason,Chris Mihm,Hedo Türkoğlu
1999-00,NBA,1st,Elton Brand,Steve Francis,Andre Miller,Lamar Odom,Wally Szczerbiak
1999-00,NBA,2nd,Metta World Peace,Chucky Atkins,Shawn Marion,James Posey,Jason Terry
1998-99,NBA,1st,Mike Bibby,Vince Carter,Matt Harpring,Paul Pierce,Jason Williams
1998-99,NBA,2nd,Michael Dickerson,Michael Doleac,Antawn Jamison,Cuttino Mobley,Michael Olowokandi
1997-98,NBA,1st,Tim Duncan,Zydrunas Ilgauskas,Brevin Knight,Ron Mercer,Keith Van Horn
1996-97,NBA,1st,Shareef Abdur-Rahim,Marcus Camby,Allen Iverson,Stephon Marbury,Antoine Walker
1996-97,NBA,2nd,Ray Allen,Kobe Bryant,Kerry Kittles,Travis Knight,Matt Maloney
1995-96,NBA,1st,Antonio McDyess,Joe Smith,Jerry Stackhouse,Damon Stoudamire,Michael Finley
1995-96,NBA,2nd,Brent Barry,Tyus Edney,Kevin Garnett,Bryant Reeves,Rasheed Wallace
1994-95,NBA,1st,Brian Grant,Grant Hill,Eddie Jones,Jason Kidd,Glenn Robinson
1994-95,NBA,2nd,Juwan Howard,Eric Montross,Wesley Person,Jalen Rose,Donyell Marshall
1993-94,NBA,1st,Vin Baker,Anfernee Hardaway,Jamal Mashburn,Isaiah Rider,Chris Webber
1993-94,NBA,2nd,Shawn Bradley,Lindsey Hunter,Toni Kukoč,Dino Radja,Nick Van Exel
1992-93,NBA,1st,LaPhonso Ellis,Tom Gugliotta,Christian Laettner,Alonzo Mourning,Shaquille O'Neal
1992-93,NBA,2nd,Richard Dumas,Robert Horry,Latrell Sprewell,Clarence Weatherspoon,Walt Williams
1991-92,NBA,1st,Stacey Augmon,Larry Johnson,Dikembe Mutombo,Billy Owens,Steve Smith
1991-92,NBA,2nd,Terrell Brandon,Rick Fox,Mark Macon,Stanley Roberts,Larry Stewart
1990-91,NBA,2nd,Mahmoud Abdul-Rauf,Willie Burton,Travis Mays,Gary Payton,Felton Spencer
1989-90,NBA,1st,Vlade Divac,Sherman Douglas,Tim Hardaway,Pooh Richardson,David Robinson
1989-90,NBA,2nd,Blue Edwards,Sean Elliott,Stacey King,J.R. Reid,Glen Rice
1988-89,NBA,1st,Willie Anderson,Hersey Hawkins,Mitch Richmond,Charles Smith,Rik Smits
1988-89,NBA,2nd,Rex Chapman,Kevin Edwards,Chris Morris,Brian Shaw,Rod Strickland
1987-88,NBA,1st,Greg Anderson,Armen Gilliam,Mark Jackson,Derrick McKey,Kenny Smith
1986-87,NBA,1st,Brad Daugherty,Ron Harper,Chuck Person,Roy Tarpley,Hot Rod Williams
1985-86,NBA,1st,Joe Dumars,Patrick Ewing,Karl Malone,Xavier McDaniel,Charles Oakley
1984-85,NBA,1st,Charles Barkley,Sam Bowie,Michael Jordan,Hakeem Olajuwon,Sam Perkins
1983-84,NBA,1st,Jeff Malone,Ralph Sampson,Byron Scott,Steve Stipanovich,Darrell Walker
1982-83,NBA,1st,Terry Cummings,Quintin Dailey,Clark Kellogg,Dominique Wilkins,James Worthy
1981-82,NBA,1st,Jeff Ruland,Isiah Thomas,Kelly Tripucka,Jay Vincent,Buck Williams
1980-81,NBA,1st,Joe Barry Carroll,Darrell Griffith,Kevin McHale,Kelvin Ransey,Larry Smith
1979-80,NBA,1st,Larry Bird,Bill Cartwright,Dave Greenwood,Magic Johnson,Calvin Natt
1978-79,NBA,1st,Ron Brewer,Phil Ford,Reggie Theus,Mychal Thompson,Terry Tyler
1977-78,NBA,1st,Walter Davis,Marques Johnson,Bernard King,Norm Nixon,Jack Sikma
1976-77,NBA,1st,Adrian Dantley,Mitch Kupchak,Ron Lee,John Lucas,Scott May
1975-76,NBA,1st,Alvan Adams,Lionel Hollins,Joe Meriweather,John Shumate,Gus Williams