,year,player
708,1995,Joe Dumars
654,1997,Joe Dumars
1759,1951,Joe Fulks
1740,1952,Joe Fulks
448,2007,Joe Johnson
419,2008,Joe Johnson
393,2009,Joe Johnson
367,2010,Joe Johnson
339,2011,Joe Johnson
314,2012,Joe Johnson
264,2014,Joe Johnson
139,2018,Joel Embiid
110,2019,Joel Embiid
85,2020,Joel Embiid
60,2021,Joel Embiid
35,2022,Joel Embiid
7,2023,Joel Embiid
1261,1973,John Block
1176,1976,John Drew
1081,1980,John Drew
1441,1966,John Havlicek
1422,1967,John Havlicek
1400,1968,John Havlicek
1375,1969,John Havlicek
1353,1970,John Havlicek
1323,1971,John Havlicek
1296,1972,John Havlicek
1265,1973,John Havlicek
1239,1974,John Havlicek
1211,1975,John Havlicek
1187,1976,John Havlicek
1166,1977,John Havlicek
1142,1978,John Havlicek
1312,1971,John Johnson
1283,1972,John Johnson
734,1994,John Starks
872,1989,John Stockton
845,1990,John Stockton
820,1991,John Stockton
794,1992,John Stockton
769,1993,John Stockton
740,1994,John Stockton
716,1995,John Stockton
689,1996,John Stockton
666,1997,John Stockton
616,2000,John Stockton
245,2014,John Wall
217,2015,John Wall
189,2016,John Wall
166,2017,John Wall
138,2018,John Wall
1532,1962,Johnny Green
1506,1963,Johnny Green
1465,1965,Johnny Green
1326,1971,Johnny Green
1369,1969,Jon McGlocklin
433,2007,Josh Howard
270,2013,Jrue Holiday
5,2023,Jrue Holiday
1153,1977,Julius Erving
1128,1978,Julius Erving
1105,1979,Julius Erving
1079,1980,Julius Erving
1058,1981,Julius Erving
1033,1982,Julius Erving
1010,1983,Julius Erving
985,1984,Julius Erving
958,1985,Julius Erving
935,1986,Julius Erving
909,1987,Julius Erving
79,2021,Julius Randle
24,2023,Julius Randle
697,1996,Juwan Howard
1345,1970,Kareem Abdul-Jabbar
1317,1971,Kareem Abdul-Jabbar
1290,1972,Kareem Abdul-Jabbar
1262,1973,Kareem Abdul-Jabbar
1236,1974,Kareem Abdul-Jabbar
1210,1975,Kareem Abdul-Jabbar
1185,1976,Kareem Abdul-Jabbar
1163,1977,Kareem Abdul-Jabbar
1115,1979,Kareem Abdul-Jabbar
1091,1980,Kareem Abdul-Jabbar
1067,1981,Kareem Abdul-Jabbar
1042,1982,Kareem Abdul-Jabbar
1020,1983,Kareem Abdul-Jabbar
995,1984,Kareem Abdul-Jabbar
971,1985,Kareem Abdul-Jabbar
946,1986,Kareem Abdul-Jabbar
922,1987,Kareem Abdul-Jabbar
895,1988,Kareem Abdul-Jabbar
869,1989,Kareem Abdul-Jabbar
890,1988,Karl Malone
865,1989,Karl Malone
843,1990,Karl Malone
816,1991,Karl Malone
788,1992,Karl Malone
762,1993,Karl Malone
733,1994,Karl Malone
710,1995,Karl Malone
684,1996,Karl Malone
659,1997,Karl Malone
632,1998,Karl Malone
613,2000,Karl Malone
584,2001,Karl Malone
557,2002,Karl Malone
156,2018,Karl-Anthony Towns
127,2019,Karl-Anthony Towns
48,2022,Karl-Anthony Towns
190,2016,Kawhi Leonard
167,2017,Kawhi Leonard
109,2019,Kawhi Leonard
84,2020,Kawhi Leonard
59,2021,Kawhi Leonard
1052,1982,Kelly Tripucka
1005,1984,Kelly Tripucka
179,2017,Kemba Walker
153,2018,Kemba Walker
125,2019,Kemba Walker
97,2020,Kemba Walker
752,1994,Kenny Anderson
1622,1958,Kenny Sears
1602,1959,Kenny Sears
514,2004,Kenyon Martin
1087,1980,Kermit Washington
876,1989,Kevin Duckworth
825,1991,Kevin Duckworth
344,2010,Kevin Durant
318,2011,Kevin Durant
293,2012,Kevin Durant
268,2013,Kevin Durant
243,2014,Kevin Durant
215,2015,Kevin Durant
188,2016,Kevin Durant
164,2017,Kevin Durant
136,2018,Kevin Durant
108,2019,Kevin Durant
58,2021,Kevin Durant
33,2022,Kevin Durant
4,2023,Kevin Durant
657,1997,Kevin Garnett
629,1998,Kevin Garnett
610,2000,Kevin Garnett
580,2001,Kevin Garnett
554,2002,Kevin Garnett
529,2003,Kevin Garnett
502,2004,Kevin Garnett
482,2005,Kevin Garnett
456,2006,Kevin Garnett
427,2007,Kevin Garnett
400,2008,Kevin Garnett
374,2009,Kevin Garnett
345,2010,Kevin Garnett
319,2011,Kevin Garnett
269,2013,Kevin Garnett
839,1990,Kevin Johnson
812,1991,Kevin Johnson
731,1994,Kevin Johnson
320,2011,Kevin Love
294,2012,Kevin Love
244,2014,Kevin Love
165,2017,Kevin Love
137,2018,Kevin Love
984,1984,Kevin McHale
933,1986,Kevin McHale
908,1987,Kevin McHale
882,1988,Kevin McHale
857,1989,Kevin McHale
833,1990,Kevin McHale
807,1991,Kevin McHale
800,1992,Kevin Willis
130,2019,Khris Middleton
104,2020,Khris Middleton
50,2022,Khris Middleton
1025,1983,Kiki Vandeweghe
999,1984,Kiki Vandeweghe
225,2015,Klay Thompson
196,2016,Klay Thompson
171,2017,Klay Thompson
146,2018,Klay Thompson
118,2019,Klay Thompson
640,1998,Kobe Bryant
618,2000,Kobe Bryant
591,2001,Kobe Bryant
562,2002,Kobe Bryant
537,2003,Kobe Bryant
509,2004,Kobe Bryant
492,2005,Kobe Bryant
464,2006,Kobe Bryant
438,2007,Kobe Bryant
412,2008,Kobe Bryant
384,2009,Kobe Bryant
360,2010,Kobe Bryant
333,2011,Kobe Bryant
307,2012,Kobe Bryant
282,2013,Kobe Bryant
259,2014,Kobe Bryant
231,2015,Kobe Bryant
202,2016,Kobe Bryant
143,2018,Kristaps Porziņģis
216,2015,Kyle Korver
222,2015,Kyle Lowry
194,2016,Kyle Lowry
169,2017,Kyle Lowry
144,2018,Kyle Lowry
115,2019,Kyle Lowry
89,2020,Kyle Lowry
266,2013,Kyrie Irving
240,2014,Kyrie Irving
213,2015,Kyrie Irving
161,2017,Kyrie Irving
133,2018,Kyrie Irving
106,2019,Kyrie Irving
56,2021,Kyrie Irving
2,2023,Kyrie Irving
295,2012,LaMarcus Aldridge
272,2013,LaMarcus Aldridge
248,2014,LaMarcus Aldridge
219,2015,LaMarcus Aldridge
191,2016,LaMarcus Aldridge
142,2018,LaMarcus Aldridge
114,2019,LaMarcus Aldridge
34,2022,LaMelo Ball
1095,1980,Larry Bird
1071,1981,Larry Bird
1045,1982,Larry Bird
1024,1983,Larry Bird
998,1984,Larry Bird
973,1985,Larry Bird
949,1986,Larry Bird
925,1987,Larry Bird
897,1988,Larry Bird
847,1990,Larry Bird
822,1991,Larry Bird
797,1992,Larry Bird
1614,1958,Larry Costello
1595,1959,Larry Costello
1575,1960,Larry Costello
1553,1961,Larry Costello
1529,1962,Larry Costello
1462,1965,Larry Costello
1763,1951,Larry Foust
1745,1952,Larry Foust
1724,1953,Larry Foust
1702,1954,Larry Foust
1678,1955,Larry Foust
1660,1956,Larry Foust
1615,1958,Larry Foust
1596,1959,Larry Foust
754,1993,Larry Johnson
703,1995,Larry Johnson
1137,1978,Larry Kenon
1111,1979,Larry Kenon
970,1985,Larry Nance
868,1989,Larry Nance
764,1993,Larry Nance
749,1994,Latrell Sprewell
722,1995,Latrell Sprewell
672,1997,Latrell Sprewell
596,2001,Latrell Sprewell
13,2023,Lauri Markkanen
483,2005,LeBron James
457,2006,LeBron James
428,2007,LeBron James
402,2008,LeBron James
376,2009,LeBron James
348,2010,LeBron James
321,2011,LeBron James
296,2012,LeBron James
273,2013,LeBron James
247,2014,LeBron James
220,2015,LeBron James
192,2016,LeBron James
168,2017,LeBron James
141,2018,LeBron James
112,2019,LeBron James
87,2020,LeBron James
62,2021,LeBron James
36,2022,LeBron James
9,2023,LeBron James
1513,1963,Lee Shaffer
1475,1964,Len Chappell
1507,1963,Lenny Wilkens
1485,1964,Lenny Wilkens
1466,1965,Lenny Wilkens
1425,1967,Lenny Wilkens
1405,1968,Lenny Wilkens
1380,1969,Lenny Wilkens
1356,1970,Lenny Wilkens
1329,1971,Lenny Wilkens
1275,1973,Lenny Wilkens
1736,1952,Leo Barnhorst
1718,1953,Leo Barnhorst
1149,1978,Lionel Hollins
1051,1982,Lonnie Shelton
1365,1969,Lou Hudson
1341,1970,Lou Hudson
1314,1971,Lou Hudson
1285,1972,Lou Hudson
1258,1973,Lou Hudson
1232,1974,Lou Hudson
98,2020,Luka Dončić
73,2021,Luka Dončić
45,2022,Luka Dončić
19,2023,Luka Dončić
1451,1965,Luke Jackson
302,2012,Luol Deng
276,2013,Luol Deng
1101,1980,Magic Johnson
1050,1982,Magic Johnson
1027,1983,Magic Johnson
1002,1984,Magic Johnson
976,1985,Magic Johnson
954,1986,Magic Johnson
929,1987,Magic Johnson
904,1988,Magic Johnson
880,1989,Magic Johnson
853,1990,Magic Johnson
829,1991,Magic Johnson
486,2005,Manu Ginóbili
326,2011,Manu Ginóbili
312,2012,Marc Gasol
237,2015,Marc Gasol
184,2017,Marc Gasol
1000,1984,Mark Aguirre
926,1987,Mark Aguirre
900,1988,Mark Aguirre
873,1989,Mark Eaton
871,1989,Mark Jackson
870,1989,Mark Price
792,1992,Mark Price
767,1993,Mark Price
739,1994,Mark Price
1104,1979,Marques Johnson
1080,1980,Marques Johnson
1059,1981,Marques Johnson
1011,1983,Marques Johnson
939,1986,Marques Johnson
1015,1983,Maurice Cheeks
940,1986,Maurice Cheeks
915,1987,Maurice Cheeks
888,1988,Maurice Cheeks
1151,1977,Maurice Lucas
1126,1978,Maurice Lucas
1103,1979,Maurice Lucas
1009,1983,Maurice Lucas
1652,1956,Maurice Stokes
1629,1957,Maurice Stokes
1607,1958,Maurice Stokes
1728,1952,Max Zaslofsky
446,2007,Mehmet Okur
1708,1953,Mel Hutchins
1687,1954,Mel Hutchins
1646,1956,Mel Hutchins
1623,1957,Mel Hutchins
504,2004,Metta World Peace
789,1992,Michael Adams
606,2000,Michael Finley
577,2001,Michael Finley
974,1985,Michael Jordan
951,1986,Michael Jordan
927,1987,Michael Jordan
901,1988,Michael Jordan
877,1989,Michael Jordan
849,1990,Michael Jordan
826,1991,Michael Jordan
801,1992,Michael Jordan
773,1993,Michael Jordan
693,1996,Michael Jordan
669,1997,Michael Jordan
641,1998,Michael Jordan
565,2002,Michael Jordan
539,2003,Michael Jordan
521,2004,Michael Redd
1083,1980,Micheal Ray Richardson
1062,1981,Micheal Ray Richardson
1037,1982,Micheal Ray Richardson
964,1985,Micheal Ray Richardson
77,2021,Mike Conley
1070,1981,Mike Mitchell
777,1993,Mitch Richmond
751,1994,Mitch Richmond
725,1995,Mitch Richmond
699,1996,Mitch Richmond
675,1997,Mitch Richmond
647,1998,Mitch Richmond
389,2009,Mo Williams
732,1994,Mookie Blaylock
1138,1978,Moses Malone
1112,1979,Moses Malone
1086,1980,Moses Malone
1065,1981,Moses Malone
1041,1982,Moses Malone
1019,1983,Moses Malone
992,1984,Moses Malone
969,1985,Moses Malone
945,1986,Moses Malone
920,1987,Moses Malone
892,1988,Moses Malone
867,1989,Moses Malone
1633,1957,Nat Clifton
1453,1965,Nate Thurmond
1432,1966,Nate Thurmond
1413,1967,Nate Thurmond
1390,1968,Nate Thurmond
1339,1970,Nate Thurmond
1255,1973,Nate Thurmond
1228,1974,Nate Thurmond
1719,1953,Neil Johnston
1697,1954,Neil Johnston
1671,1955,Neil Johnston
1655,1956,Neil Johnston
1635,1957,Neil Johnston
1610,1958,Neil Johnston
636,1998,Nick Van Exel
132,2019,Nikola Jokić
105,2020,Nikola Jokić
80,2021,Nikola Jokić
53,2022,Nikola Jokić
26,2023,Nikola Jokić
107,2019,Nikola Vučević
57,2021,Nikola Vučević
1048,1982,Norm Nixon
975,1985,Norm Nixon
1248,1974,Norm Van Lier
1198,1976,Norm Van Lier
1174,1977,Norm Van Lier
1558,1961,Oscar Robertson
1535,1962,Oscar Robertson
1510,1963,Oscar Robertson
1487,1964,Oscar Robertson
1468,1965,Oscar Robertson
1446,1966,Oscar Robertson
1426,1967,Oscar Robertson
1406,1968,Oscar Robertson
1381,1969,Oscar Robertson
1357,1970,Oscar Robertson
1330,1971,Oscar Robertson
1303,1972,Oscar Robertson
1117,1979,Otis Birdsong
1093,1980,Otis Birdsong
1069,1981,Otis Birdsong
994,1984,Otis Birdsong
795,1992,Otis Thorpe
83,2020,Pascal Siakam
6,2023,Pascal Siakam
950,1986,Patrick Ewing
898,1988,Patrick Ewing
874,1989,Patrick Ewing
848,1990,Patrick Ewing
823,1991,Patrick Ewing
798,1992,Patrick Ewing
771,1993,Patrick Ewing
742,1994,Patrick Ewing
718,1995,Patrick Ewing
691,1996,Patrick Ewing
667,1997,Patrick Ewing
473,2006,Pau Gasol
392,2009,Pau Gasol
366,2010,Pau Gasol
338,2011,Pau Gasol
239,2015,Pau Gasol
211,2016,Pau Gasol
1757,1951,Paul Arizin
1737,1952,Paul Arizin
1670,1955,Paul Arizin
1654,1956,Paul Arizin
1632,1957,Paul Arizin
1609,1958,Paul Arizin
1591,1959,Paul Arizin
1571,1960,Paul Arizin
1547,1961,Paul Arizin
1522,1962,Paul Arizin
278,2013,Paul George
255,2014,Paul George
200,2016,Paul George
178,2017,Paul George
151,2018,Paul George
122,2019,Paul George
72,2021,Paul George
16,2023,Paul George
262,2014,Paul Millsap
235,2015,Paul Millsap
207,2016,Paul Millsap
182,2017,Paul Millsap
563,2002,Paul Pierce
538,2003,Paul Pierce
510,2004,Paul Pierce
493,2005,Paul Pierce
465,2006,Paul Pierce
413,2008,Paul Pierce
385,2009,Paul Pierce
361,2010,Paul Pierce
334,2011,Paul Pierce
308,2012,Paul Pierce
1717,1953,Paul Seymour
1695,1954,Paul Seymour
1669,1955,Paul Seymour
1300,1972,Paul Silas
1218,1975,Paul Silas
1739,1952,Paul Walther
1155,1977,Paul Westphal
1130,1978,Paul Westphal
1106,1979,Paul Westphal
1082,1980,Paul Westphal
1060,1981,Paul Westphal
567,2002,Peja Stojaković
541,2003,Peja Stojaković
512,2004,Peja Stojaković
1252,1973,Pete Maravich
1226,1974,Pete Maravich
1157,1977,Pete Maravich
1132,1978,Pete Maravich
1108,1979,Pete Maravich
1235,1974,Phil Chenier
1209,1975,Phil Chenier
1162,1977,Phil Chenier
1196,1976,Phil Smith
1171,1977,Phil Smith
355,2010,Rajon Rondo
328,2011,Rajon Rondo
303,2012,Rajon Rondo
277,2013,Rajon Rondo
1753,1951,Ralph Beard
988,1984,Ralph Sampson
961,1985,Ralph Sampson
938,1986,Ralph Sampson
914,1987,Ralph Sampson
1199,1976,Randy Smith
1147,1978,Randy Smith
479,2005,Rashard Lewis
370,2009,Rashard Lewis
619,2000,Rasheed Wallace
592,2001,Rasheed Wallace
466,2006,Rasheed Wallace
414,2008,Rasheed Wallace
607,2000,Ray Allen
578,2001,Ray Allen
552,2002,Ray Allen
501,2004,Ray Allen
481,2005,Ray Allen
454,2006,Ray Allen
425,2007,Ray Allen
398,2008,Ray Allen
372,2009,Ray Allen
316,2011,Ray Allen
1693,1954,Ray Felix
1651,1956,Red Kerr
1589,1959,Red Kerr
1495,1963,Red Kerr
1767,1951,Red Rocha
1748,1952,Red Rocha
780,1992,Reggie Lewis
854,1990,Reggie Miller
720,1995,Reggie Miller
695,1996,Reggie Miller
643,1998,Reggie Miller
622,2000,Reggie Miller
1078,1981,Reggie Theus
1030,1983,Reggie Theus
471,2006,Richard Hamilton
445,2007,Richard Hamilton
418,2008,Richard Hamilton
1603,1958,Richie Guerin
1584,1959,Richie Guerin
1562,1960,Richie Guerin
1540,1961,Richie Guerin
1515,1962,Richie Guerin
1491,1963,Richie Guerin
1628,1957,Richie Regan
1444,1966,Rick Barry
1424,1967,Rick Barry
1274,1973,Rick Barry
1246,1974,Rick Barry
1219,1975,Rick Barry
1194,1976,Rick Barry
1169,1977,Rick Barry
1144,1978,Rick Barry
1001,1984,Rickey Green
831,1991,Ricky Pierce
638,1998,Rik Smits
1056,1981,Robert Parish
1031,1982,Robert Parish
1007,1983,Robert Parish
982,1984,Robert Parish
957,1985,Robert Parish
932,1986,Robert Parish
907,1987,Robert Parish
832,1990,Robert Parish
806,1991,Robert Parish
981,1985,Rolando Blackman
956,1986,Rolando Blackman
931,1987,Rolando Blackman
856,1990,Rolando Blackman
298,2012,Roy Hibbert
249,2014,Roy Hibbert
91,2020,Rudy Gobert
67,2021,Rudy Gobert
38,2022,Rudy Gobert
1523,1962,Rudy LaRusso
1498,1963,Rudy LaRusso
1436,1966,Rudy LaRusso
1395,1968,Rudy LaRusso
1368,1969,Rudy LaRusso
1234,1974,Rudy Tomjanovich
1208,1975,Rudy Tomjanovich
1183,1976,Rudy Tomjanovich
1161,1977,Rudy Tomjanovich
1113,1979,Rudy Tomjanovich
336,2011,Russell Westbrook
311,2012,Russell Westbrook
286,2013,Russell Westbrook
236,2015,Russell Westbrook
208,2016,Russell Westbrook
183,2017,Russell Westbrook
157,2018,Russell Westbrook
128,2019,Russell Westbrook
102,2020,Russell Westbrook
519,2004,Sam Cassell
1517,1962,Sam Jones
1472,1964,Sam Jones
1452,1965,Sam Jones
1431,1966,Sam Jones
1388,1968,Sam Jones
1206,1975,Sam Lacey
1184,1976,Scott Wedman
1088,1980,Scott Wedman
855,1990,Scottie Pippen
805,1992,Scottie Pippen
778,1993,Scottie Pippen
743,1994,Scottie Pippen
726,1995,Scottie Pippen
700,1996,Scottie Pippen
676,1997,Scottie Pippen
758,1993,Sean Elliott
682,1996,Sean Elliott
25,2023,Shai Gilgeous-Alexander
776,1993,Shaquille O'Neal
750,1994,Shaquille O'Neal
723,1995,Shaquille O'Neal
696,1996,Shaquille O'Neal
673,1997,Shaquille O'Neal
644,1998,Shaquille O'Neal
623,2000,Shaquille O'Neal
597,2001,Shaquille O'Neal
570,2002,Shaquille O'Neal
545,2003,Shaquille O'Neal
518,2004,Shaquille O'Neal
497,2005,Shaquille O'Neal
470,2006,Shaquille O'Neal
444,2007,Shaquille O'Neal
388,2009,Shaquille O'Neal
555,2002,Shareef Abdur-Rahim
766,1993,Shawn Kemp
738,1994,Shawn Kemp
715,1995,Shawn Kemp
688,1996,Shawn Kemp
663,1997,Shawn Kemp
635,1998,Shawn Kemp
524,2003,Shawn Marion
476,2005,Shawn Marion
451,2006,Shawn Marion
422,2007,Shawn Marion
1034,1982,Sidney Moncrief
1012,1983,Sidney Moncrief
987,1984,Sidney Moncrief
960,1985,Sidney Moncrief
937,1986,Sidney Moncrief
1297,1972,Sidney Wicks
1267,1973,Sidney Wicks
1240,1974,Sidney Wicks
1213,1975,Sidney Wicks
1727,1953,Slater Martin
1706,1954,Slater Martin
1685,1955,Slater Martin
1664,1956,Slater Martin
1643,1957,Slater Martin
1621,1958,Slater Martin
1601,1959,Slater Martin
918,1987,Sleepy Floyd
1282,1972,Spencer Haywood
1256,1973,Spencer Haywood
1229,1974,Spencer Haywood
1203,1975,Spencer Haywood
254,2014,Stephen Curry
228,2015,Stephen Curry
199,2016,Stephen Curry
177,2017,Stephen Curry
150,2018,Stephen Curry
121,2019,Stephen Curry
71,2021,Stephen Curry
43,2022,Stephen Curry
14,2023,Stephen Curry
581,2001,Stephon Marbury
530,2003,Stephon Marbury
558,2002,Steve Francis
531,2003,Steve Francis
505,2004,Steve Francis
886,1988,Steve Johnson
1205,1975,Steve Mix
550,2002,Steve Nash
526,2003,Steve Nash
480,2005,Steve Nash
453,2006,Steve Nash
424,2007,Steve Nash
396,2008,Steve Nash
342,2010,Steve Nash
291,2012,Steve Nash
625,1998,Steve Smith
685,1996,Terrell Brandon
660,1997,Terrell Brandon
963,1985,Terry Cummings
862,1989,Terry Cummings
1499,1963,Terry Dischinger
1478,1964,Terry Dischinger
1458,1965,Terry Dischinger
813,1991,Terry Porter
761,1993,Terry Porter
585,2001,Theo Ratliff
627,1998,Tim Duncan
603,2000,Tim Duncan
575,2001,Tim Duncan
549,2002,Tim Duncan
525,2003,Tim Duncan
500,2004,Tim Duncan
477,2005,Tim Duncan
452,2006,Tim Duncan
423,2007,Tim Duncan
395,2008,Tim Duncan
369,2009,Tim Duncan
341,2010,Tim Duncan
315,2011,Tim Duncan
265,2013,Tim Duncan
212,2015,Tim Duncan
818,1991,Tim Hardaway
793,1992,Tim Hardaway
768,1993,Tim Hardaway
664,1997,Tim Hardaway
637,1998,Tim Hardaway
1269,1973,Nate Archibald
1215,1975,Nate Archibald
1190,1976,Nate Archibald
1098,1980,Nate Archibald
1074,1981,Nate Archibald
1047,1982,Nate Archibald
917,1987,Tom Chambers
864,1989,Tom Chambers
842,1990,Tom Chambers
815,1991,Tom Chambers
1574,1960,Tom Gola
1552,1961,Tom Gola
1528,1962,Tom Gola
1503,1963,Tom Gola
1482,1964,Tom Gola
671,1997,Tom Gugliotta
1634,1957,Tom Heinsohn
1549,1961,Tom Heinsohn
1525,1962,Tom Heinsohn
1501,1963,Tom Heinsohn
1480,1964,Tom Heinsohn
1460,1965,Tom Heinsohn
1514,1963,Tom Meschery
1349,1970,Tom Van Arsdale
1320,1971,Tom Van Arsdale
1294,1972,Tom Van Arsdale
472,2006,Tony Parker
447,2007,Tony Parker
390,2009,Tony Parker
313,2012,Tony Parker
287,2013,Tony Parker
263,2014,Tony Parker
594,2001,Tracy McGrady
566,2002,Tracy McGrady
540,2003,Tracy McGrady
511,2004,Tracy McGrady
494,2005,Tracy McGrady
467,2006,Tracy McGrady
440,2007,Tracy McGrady
81,2020,Trae Young
28,2022,Trae Young
1141,1978,Truck Robinson
1072,1981,Truck Robinson
21,2023,Tyrese Haliburton
714,1995,Tyrone Hill
289,2013,Tyson Chandler
1762,1951,Vern Mikkelsen
1743,1952,Vern Mikkelsen
1721,1953,Vern Mikkelsen
1674,1955,Vern Mikkelsen
1658,1956,Vern Mikkelsen
1637,1957,Vern Mikkelsen
159,2018,Victor Oladipo
131,2019,Victor Oladipo
724,1995,Vin Baker
698,1996,Vin Baker
674,1997,Vin Baker
646,1998,Vin Baker
1769,1951,Vince Boryla
602,2000,Vince Carter
574,2001,Vince Carter
548,2002,Vince Carter
523,2003,Vince Carter
499,2004,Vince Carter
475,2005,Vince Carter
450,2006,Vince Carter
421,2007,Vince Carter
589,2001,Vlade Divac
560,2002,Wally Szczerbiak
1521,1962,Walt Bellamy
1497,1963,Walt Bellamy
1477,1964,Walt Bellamy
1457,1965,Walt Bellamy
1343,1970,Walt Frazier
1316,1971,Walt Frazier
1288,1972,Walt Frazier
1260,1973,Walt Frazier
1233,1974,Walt Frazier
1207,1975,Walt Frazier
1182,1976,Walt Frazier
1389,1968,Walt Hazzard
1139,1978,Walter Davis
1114,1979,Walter Davis
1089,1980,Walter Davis
1066,1981,Walter Davis
993,1984,Walter Davis
921,1987,Walter Davis
1564,1960,Walter Dukes
1541,1961,Walter Dukes
1555,1961,Wayne Embry
1531,1962,Wayne Embry
1505,1963,Wayne Embry
1484,1964,Wayne Embry
1464,1965,Wayne Embry
1362,1969,Wes Unseld
1309,1971,Wes Unseld
1280,1972,Wes Unseld
1250,1973,Wes Unseld
1200,1975,Wes Unseld
1619,1958,Willie Naulls
1581,1960,Willie Naulls
1560,1961,Willie Naulls
1537,1962,Willie Naulls
1461,1965,Willis Reed
1440,1966,Willis Reed
1421,1967,Willis Reed
1399,1968,Willis Reed
1374,1969,Willis Reed
1352,1970,Willis Reed
1322,1971,Willis Reed
1568,1960,Wilt Chamberlain
1545,1961,Wilt Chamberlain
1519,1962,Wilt Chamberlain
1493,1963,Wilt Chamberlain
1473,1964,Wilt Chamberlain
1454,1965,Wilt Chamberlain
1434,1966,Wilt Chamberlain
1414,1967,Wilt Chamberlain
1391,1968,Wilt Chamberlain
1366,1969,Wilt Chamberlain
1315,1971,Wilt Chamberlain
1287,1972,Wilt Chamberlain
1259,1973,Wilt Chamberlain
1583,1959,Woody Sauldsberry
1090,1980,World Free
906,1988,Xavier McDaniel
536,2003,Yao Ming
508,2004,Yao Ming
490,2005,Yao Ming
461,2006,Yao Ming
435,2007,Yao Ming
409,2008,Yao Ming
380,2009,Yao Ming
330,2011,Yao Ming
54,2021,Zach LaVine
29,2022,Zach LaVine
363,2010,Zach Randolph
285,2013,Zach Randolph
1445,1966,Zelmo Beaty
1404,1968,Zelmo Beaty
55,2021,Zion Williamson
0,2023,Zion Williamson
533,2003,Zydrunas Ilgauskas
487,2005,Zydrunas Ilgauskas
